Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Madre de Deus,Bahia,291992,-12.7424741,-38.6152913,Não,,,,,,,,,,,,,,,,,,,,,,
Mata de São João,Bahia,292100,-12.530685,-38.300898,Não,,,,,,,,,,,,,,,,,,,,,,
Paulo Afonso,Bahia,292400,-9.3991006,-38.226711,Não,,,,,,,,,,,,,,,,,,,,,,
Pojuca,Bahia,292520,-12.4260268,-38.3266573,Não,,,,,,,,,,,,,,,,,,,,,,
Porto Seguro,Bahia,292530,-16.443473,-39.064251,Não,,,,,,,,,,,,,,,,,,,,,,
Ribeira do Pombal,Bahia,292660,-10.8357496,-38.5368506,Não,,,,,,,,,,,,,,,,,,,,,,
Salvador,Bahia,292740,-12.9822499,-38.4812772,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Amaro,Bahia,292860,-12.5519686,-38.7060448,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio de Jesus,Bahia,292870,-12.9689361,-39.260914,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Estêvão,Bahia,292880,-12.4340621,-39.2556115,Não,,,,,,,,,,,,,,,,,,,,,,
São Francisco do Conde,Bahia,292920,-12.628108,-38.6811326,Não,,,,,,,,,,,,,,,,,,,,,,
São Sebastião do Passé,Bahia,292950,-12.5177926,-38.4921566,Não,,,,,,,,,,,,,,,,,,,,,,
Senhor do Bonfim,Bahia,293010,-10.4602509,-40.189151,Não,,,,,,,,,,,,,,,,,,,,,,
Serrinha,Bahia,293050,-11.66199,-39.0034021,Não,,,,,,,,,,,,,,,,,,,,,,
Simões Filho,Bahia,293070,-12.7867839,-38.4030365,Não,,,,,,,,,,,,,,,,,,,,,,
Teixeira de Freitas,Bahia,293135,-17.5384774,-39.7451701,Não,,,,,,,,,,,,,,,,,,,,,,
Tucano,Bahia,293190,-10.963517,-38.785957,Não,,,,,,,,,,,,,,,,,,,,,,
Valença,Bahia,293290,-13.3723582,-39.0694243,Não,,,,,,,,,,,,,,,,,,,,,,
Vera Cruz,Bahia,293320,-12.9608153,-38.6099216,Não,,,,,,,,,,,,,,,,,,,,,,
Vitória da Conquista,Bahia,293330,-14.8567487,-40.8414804,Não,,,,,,,,,,,,,,,,,,,,,,
Acaraú,Ceará,230020,-2.8869514,-40.1194713,Não,,,,,,,,,,,,,,,,,,,,,,
Acopiara,Ceará,230030,-6.0936464,-39.4543204,Não,,,,,,,,,,,,,,,,,,,,,,
Aquiraz,Ceará,230100,-3.9063117,-38.387504,Não,,,,,,,,,,,,,,,,,,,,,,
Aracati,Ceará,230110,-4.558259,-37.767894,Não,,,,,,,,,,,,,,,,,,,,,,
Barbalha,Ceará,230190,-7.3121067,-39.3036427,Não,,,,,,,,,,,,,,,,,,,,,,
Beberibe,Ceará,230220,-4.1810469,-38.1298101,Não,,,,,,,,,,,,,,,,,,,,,,
Boa Viagem,Ceará,230240,-5.1261877,-39.7300055,Não,,,,,,,,,,,,,,,,,,,,,,
Camocim,Ceará,230260,-2.9009918,-40.8427389,Não,,,,,,,,,,,,,,,,,,,,,,
Canindé,Ceará,230280,-4.3547946,-39.3108516,Não,,,,,,,,,,,,,,,,,,,,,,
Cascavel,Ceará,230350,-4.129666,-38.241178,Não,,,,,,,,,,,,,,,,,,,,,,
Caucaia,Ceará,230370,-3.7300563,-38.6593082,Não,,,,,,,,,,,,,,,,,,,,,,
Chorozinho,Ceará,230395,-4.3010895,-38.4976923,Não,,,,,,,,,,,,,,,,,,,,,,
Crateús,Ceará,230410,-5.1782451,-40.6696545,Não,,,,,,,,,,,,,,,,,,,,,,
Crato,Ceará,230420,-7.2369112,-39.4149236,Não,,,,,,,,,,,,,,,,,,,,,,
Eusébio,Ceará,230428,-3.8889838,-38.4546585,Não,,,,,,,,,,,,,,,,,,,,,,
Fortaleza,Ceará,230440,-3.7304512,-38.5217989,Não,,,,,,,,,,,,,,,,,,,,,,
Granja,Ceará,230470,-3.1212057,-40.8284124,Não,,,,,,,,,,,,,,,,,,,,,,
Guaiúba,Ceará,230495,-4.0412656,-38.6369079,Não,,,,,,,,,,,,,,,,,,,,,,
Horizonte,Ceará,230523,-4.0964618,-38.4965574,Não,,,,,,,,,,,,,,,,,,,,,,
Icó,Ceará,230540,-6.4003992,-38.8575946,Não,,,,,,,,,,,,,,,,,,,,,,
Iguatu,Ceará,230550,-6.361934,-39.2972233,Não,,,,,,,,,,,,,,,,,,,,,,
Itaitinga,Ceará,230625,-3.965768,-38.529763,Não,,,,,,,,,,,,,,,,,,,,,,
Itapajé,Ceará,230630,-3.6841324,-39.5851265,Não,,,,,,,,,,,,,,,,,,,,,,
Itapipoca,Ceará,230640,-3.4960586,-39.5819197,Não,,,,,,,,,,,,,,,,,,,,,,
Juazeiro do Norte,Ceará,230730,-7.2153453,-39.3153336,Não,,,,,,,,,,,,,,,,,,,,,,
Limoeiro do Norte,Ceará,230760,-5.1455607,-38.0984936,Não,,,,,,,,,,,,,,,,,,,,,,
Maracanaú,Ceará,230765,-3.8779438,-38.6247697,Não,,,,,,,,,,,,,,,,,,,,,,
Maranguape,Ceará,230770,-3.8922967,-38.6835427,Não,,,,,,,,,,,,,,,,,,,,,,
Morada Nova,Ceará,230870,-5.1076699,-38.3727852,Não,,,,,,,,,,,,,,,,,,,,,,
Pacajus,Ceará,230960,-4.171073,-38.464988,Não,,,,,,,,,,,,,,,,,,,,,,
Pacatuba,Ceará,230970,-3.9841,-38.6180383,Não,,,,,,,,,,,,,,,,,,,,,,
