Cidade,Estado,ID,Latitude,Longitude,Amazonia,Parcela da população sem acesso à água,Parcela da população com acesso à água,População com acesso à água,População sem acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,População com coleta de esgoto,População sem coleta de esgoto,Parcela das moradias sem banheiro,Parcela das moradias com banheiro,Moradias com banheiro,Moradias sem banheiro,Percentagem da população branca sem acesso à água,Percentagem da população preta sem acesso à água,Percentagem da população amarela sem acesso à água,Percentagem da população parda sem acesso à água,Percentagem da população indígena sem acesso à água,Percentagem da população branca sem acesso à coleta de esgoto,Percentagem da população preta sem acesso à coleta de esgoto,Percentagem da população amarela sem acesso à coleta de esgoto,Percentagem da população parda sem acesso à coleta de esgoto,Percentagem da população indígena sem acesso à coleta de esgoto,Incidência de internações por diarreia,Internações por diarreia,Internações por doenças de veiculação hídrica,Incidência de internações totais por doenças de veiculação hídrica,Óbitos por doenças de veiculação hídrica,Taxa de óbitos por doenças de veiculação hídrica,Despesas com internações por doenças de veiculação hídrica,Internações por doenças respiratórias,Incidência de internações por doenças respiratórias,Óbitos por doenças respiratórias,Incidência de óbitos por doenças respiratórias,Consumo per capita de água,Índice de esgoto tratado referido à água consumida,Perdas na distribuição,Perdas no faturamento,Extensão da rede de água,Extensão da rede de esgoto,"Investimentos totais, em R$ de 2022","Investimentos per capita, em R$ de 2022",Despesas per capita com saneamento,Tarifa de água,Tarifa de coleta de esgoto,Densidade demográfica,Densidade domiciliar,População,Área do município
Parintins,Amazonas,130340,-2.6344567,-56.7319324,Sim,0.004,0.996,96000,372,1,0,0,96372,0.1315,0.8685,20757,3143,0.107,0.158,0.032,0.19,0.185,0.877,0.893,0.873,0.908,0.945,8.405,81,,9.028,0,0,28966.34,340,35.28,27,2.802,102.68,0,0.713,0.707,4500,,0,0,86.93,2.23,,16.18,4.03,96372,5956.373
Presidente Figueiredo,Amazonas,130353,-2.0486359,-60.0236658,Sim,0.446,0.554,17000,13668,0.837,0.163,5000,25668,0.0753,0.9247,8682,707,0.392,0.411,0.234,0.423,0.875,0.66,0.687,0.574,0.687,0.922,3.261,10,,4.891,0,0,4867.79,81,26.412,5,1.63,160.89,0,0.142,0.186,40.8,19.57,0,0,40.76,0.72,,1.21,3.27,30668,25412.265
Rio Preto da Eva,Amazonas,130356,-2.6990647,-59.7012494,Sim,0.136,0.864,21542,3394,1,0,0,24936,0.0731,0.9269,7235,571,0.424,0.495,0.333,0.525,0.549,0.898,0.921,0.818,0.912,0.972,5.213,13,,6.015,0,0,5345.27,107,42.91,3,1.203,131.84,0,0.172,0.23,83,,0,0,80.67,1.36,,4.29,3.19,24936,5815.622
Tabatinga,Amazonas,130406,-4.2327349,-69.9263372,Sim,0.718,0.282,18840,47924,1,0,0,66764,0.2268,0.7732,10701,3138,0.558,0.54,0.406,0.532,0.484,0.835,0.864,0.667,0.88,0.97,3.295,22,,6.74,0,0,14952.26,181,27.11,15,2.247,56.99,0,0.7,0,110.66,,68404.29,1.02,6.84,0.1,,20.44,4.82,66764,3266.062
Tefé,Amazonas,130420,-3.3485276,-64.7102278,Sim,0.183,0.817,60154,13515,1,0,0,73669,0.1787,0.8213,14340,3120,0.27,0.249,0.286,0.26,0.254,0.826,0.848,0.905,0.863,0.946,13.574,100,,15.067,0,0,38134.49,469,63.663,19,2.579,102.72,0,0.53,0.53,142.2,,0,0,26.38,0.7,,3.11,4.22,73669,23692.223
Alagoinhas,Bahia,290070,-12.133526,-38.420772,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araci,Bahia,290210,-11.3390214,-38.9586849,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barra,Bahia,290270,-11.0891794,-43.1414512,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barreiras,Bahia,290320,-12.1440031,-44.9967406,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus da Lapa,Bahia,290390,-13.2498754,-43.4101019,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
