Cidade,Estado,ID,Latitude,Longitude,Amazonia
Ituiutaba,Minas Gerais,313420,-18.9691887,-49.4639335,Não
Jaboticatubas,Minas Gerais,313460,-19.521667,-43.745277,Não
Janaúba,Minas Gerais,313510,-15.8103735,-43.3052119,Não
Januária,Minas Gerais,313520,-15.4875,-44.361111,Não
João Monlevade,Minas Gerais,313620,-19.809444,-43.173334,Não
Juatuba,Minas Gerais,313665,-19.954001,-44.3407921,Não
Juiz de Fora,Minas Gerais,313670,-21.7609533,-43.3501129,Não
Lagoa da Prata,Minas Gerais,313720,-20.022778,-45.5440462,Não
Lagoa Santa,Minas Gerais,313760,-19.6357376,-43.8966132,Não
Lavras,Minas Gerais,313820,-21.2425512,-44.9991978,Não
Leopoldina,Minas Gerais,313840,-21.5314282,-42.6403534,Não
Manhuaçu,Minas Gerais,313940,-20.2574434,-42.0340769,Não
Mariana,Minas Gerais,314000,-20.3781468,-43.4174862,Não
Mário Campos,Minas Gerais,314015,-20.0511,-44.1858,Não
Mateus Leme,Minas Gerais,314070,-19.986666,-44.428056,Não
Matozinhos,Minas Gerais,314110,-19.5576547,-44.0816035,Não
Moeda,Minas Gerais,314230,-20.333056,-44.0525,Não
Montes Claros,Minas Gerais,314330,-16.7495727,-43.8687268,Não
Muriaé,Minas Gerais,314390,-21.1313485,-42.3628918,Não
Nova Lima,Minas Gerais,314480,-19.9854089,-43.8470691,Não
Nova Serrana,Minas Gerais,314520,-19.875834,-44.984166,Não
Nova União,Minas Gerais,313660,-19.6901893,-43.580107,Não
Ouro Preto,Minas Gerais,314610,-20.385527,-43.5035214,Não
Pará de Minas,Minas Gerais,314710,-19.8668656,-44.5912664,Não
Paracatu,Minas Gerais,314700,-17.2174056,-46.8707514,Não
Passos,Minas Gerais,314790,-20.7167803,-46.6156864,Não
Patos de Minas,Minas Gerais,314800,-18.6041453,-46.5096698,Não
Patrocínio,Minas Gerais,314810,-18.9408294,-46.9926624,Não
Pedro Leopoldo,Minas Gerais,314930,-19.617778,-44.043055,Não
Pirapora,Minas Gerais,315120,-17.3493765,-44.9507904,Não
Poços de Caldas,Minas Gerais,315180,-21.7900318,-46.5647928,Não
Ponte Nova,Minas Gerais,315210,-20.4164353,-42.90878,Não
Pouso Alegre,Minas Gerais,315250,-22.2343858,-45.9327241,Não
Prudente de Morais,Minas Gerais,315360,-19.4825,-44.155556,Não
Raposos,Minas Gerais,315390,-19.967223,-43.804167,Não
Ribeirão das Neves,Minas Gerais,315460,-19.7672898,-44.0875436,Não
Rio Acima,Minas Gerais,315480,-20.0875,-43.789166,Não
Rio Manso,Minas Gerais,315530,-20.265079,-44.3090284,Não
Sabará,Minas Gerais,315670,-19.8900372,-43.8107916,Não
Santa Bárbara,Minas Gerais,315720,-19.959444,-43.415278,Não
Santa Luzia,Minas Gerais,315780,-19.7702097,-43.8505291,Não
São Francisco,Minas Gerais,316110,-15.948889,-44.864444,Não
São João del Rei,Minas Gerais,316250,-21.1335755,-44.2588086,Não
São Joaquim de Bicas,Minas Gerais,316292,-20.0489052,-44.2731691,Não
São José da Lapa,Minas Gerais,316295,-19.6988548,-43.9583194,Não
São José da Varginha,Minas Gerais,316310,-19.7087286,-44.5577812,Não
São Sebastião do Paraíso,Minas Gerais,316470,-20.9124331,-46.9823296,Não
Sarzedo,Minas Gerais,316553,-20.0353,-44.1453,Não
Sete Lagoas,Minas Gerais,316720,-19.466111,-44.246944,Não
Taquaraçu de Minas,Minas Gerais,316830,-19.669445,-43.687777,Não
Teófilo Otoni,Minas Gerais,316860,-17.8579267,-41.5081533,Não
Timóteo,Minas Gerais,316870,-19.5771395,-42.6436108,Não
Três Corações,Minas Gerais,316930,-21.695625,-45.2543675,Não
Três Pontas,Minas Gerais,316940,-21.3686224,-45.5122937,Não
Ubá,Minas Gerais,316990,-21.12,-42.942777,Não
Uberaba,Minas Gerais,317010,-19.750833,-47.936666,Não
Uberlândia,Minas Gerais,317020,-18.9188041,-48.2767837,Não
Unaí,Minas Gerais,317040,-16.3628767,-46.892413,Não
Varginha,Minas Gerais,317070,-21.5565914,-45.4340674,Não
Vespasiano,Minas Gerais,317120,-19.6940958,-43.9186521,Não
Viçosa,Minas Gerais,317130,-20.7538586,-42.8815888,Não
Abaetetuba,Pará,150010,-1.7217787,-48.8788106,Sim
Acará,Pará,150020,-1.961388,-48.1987043,Sim
Alenquer,Pará,150040,-1.946229,-54.738355,Sim
Altamira,Pará,150060,-3.204065,-52.209961,Sim
Ananindeua,Pará,150080,-1.374035,-48.4016623,Sim
Barcarena,Pará,150130,-1.5107945,-48.6190679,Sim
Belém,Pará,150140,-1.45056,-48.4682453,Sim
Benevides,Pará,150150,-1.3555577,-48.252235,Sim
Bragança,Pará,150170,-1.0574255,-46.7635232,Sim
Breu Branco,Pará,150178,-3.7785073,-49.5684795,Sim
Breves,Pará,150180,-1.68036,-50.479085,Sim
Cametá,Pará,150210,-2.242949,-49.497885,Sim
Capanema,Pará,150220,-1.1933054,-47.1828679,Sim
Capitão Poço,Pará,150230,-1.7447162,-47.0638495,Sim
Castanhal,Pará,150240,-1.2927031,-47.9223903,Sim
Dom Eliseu,Pará,150293,-4.2928111,-47.5559083,Sim
